asset_classes,products,maturity_buckets,business_units,pd_bucket,legal_entities,transaction_id,exposure,RWA,reporting_date
Corporates,Debt securities,1 year ≤ residual maturity < 2 years,Wholesale Banking,10.00 to < 100,iBank filial,transaction_327849,815.1461328948271,130.63658168994715,2020-01-31
Regulatory retail portfolios,Other investments,2 years ≤ residual maturity < 5 years,Asset & Wealth Management,100 default,iBank CIB,transaction_700660,595.0476277745295,103.15241426216936,2020-01-31
Sovereigns and their central banks,Loans,5 years ≤ residual maturity < 10 years,Personal Banking,0.00 to < 0.15,iBank Finance Ltd,transaction_779452,29.685443985432602,6.882758453491989,2020-01-31
Non-central government public sector entities,Debt securities,> 10 years,Commercial & Business Banking,0.15 to < 0.25,iBank filial,transaction_583562,761.3573769397285,238.31781830120912,2020-01-31
Multilateral development banks,Other investments,>1y,Wholesale Banking,0.25 to < 0.50,iBank CIB,transaction_385917,771.6428404598898,397.93026400052156,2020-01-31
Banks,Loans,1 year ≤ residual maturity < 2 years,Asset & Wealth Management,0.50 to < 0.75,iBank Finance Ltd,transaction_491731,245.0156696332417,115.04143478048432,2020-01-31
Securities firms,Debt securities,2 years ≤ residual maturity < 5 years,Personal Banking,0.75 to < 2.50,iBank filial,transaction_529257,525.074520585461,120.54745093471637,2020-01-31
Corporates,Other investments,5 years ≤ residual maturity < 10 years,Commercial & Business Banking,2.50 to < 10.00,iBank CIB,transaction_951144,455.56577769602404,207.85588074467051,2020-01-31
Regulatory retail portfolios,Loans,> 10 years,Wholesale Banking,10.00 to < 100,iBank Finance Ltd,transaction_457419,138.38386269308944,54.021846225510146,2020-01-31
Sovereigns and their central banks,Debt securities,>1y,Asset & Wealth Management,100 default,iBank filial,transaction_002025,496.4005925102669,233.81869295680568,2020-01-31
Non-central government public sector entities,Other investments,1 year ≤ residual maturity < 2 years,Personal Banking,0.00 to < 0.15,iBank CIB,transaction_172170,301.2512587474615,57.091220524709016,2020-01-31
Multilateral development banks,Loans,2 years ≤ residual maturity < 5 years,Commercial & Business Banking,0.15 to < 0.25,iBank Finance Ltd,transaction_824409,23.18406200548262,8.995140701183765,2020-01-31
Banks,Debt securities,5 years ≤ residual maturity < 10 years,Wholesale Banking,0.25 to < 0.50,iBank filial,transaction_424887,155.3129240135914,58.50980428952455,2020-01-31
Securities firms,Other investments,> 10 years,Asset & Wealth Management,0.50 to < 0.75,iBank CIB,transaction_514336,920.1934886834616,549.4721675038728,2020-01-31
Corporates,Loans,>1y,Personal Banking,0.75 to < 2.50,iBank Finance Ltd,transaction_054243,596.4567729728425,332.45751847008705,2020-01-31
Regulatory retail portfolios,Debt securities,1 year ≤ residual maturity < 2 years,Commercial & Business Banking,2.50 to < 10.00,iBank filial,transaction_669625,5.595812290237645,1.5880307842989143,2020-01-31
Sovereigns and their central banks,Other investments,2 years ≤ residual maturity < 5 years,Wholesale Banking,10.00 to < 100,iBank CIB,transaction_160784,628.5190373785808,170.0982055005485,2020-01-31
Non-central government public sector entities,Loans,5 years ≤ residual maturity < 10 years,Asset & Wealth Management,100 default,iBank Finance Ltd,transaction_902702,10.58078080312419,2.5405775789322353,2020-01-31
Multilateral development banks,Debt securities,> 10 years,Personal Banking,0.00 to < 0.15,iBank filial,transaction_646767,840.780217823362,184.50223638764228,2020-01-31
Banks,Other investments,>1y,Commercial & Business Banking,0.15 to < 0.25,iBank CIB,transaction_543722,408.74050336507906,183.8642280727774,2020-01-31
Securities firms,Loans,1 year ≤ residual maturity < 2 years,Wholesale Banking,0.25 to < 0.50,iBank Finance Ltd,transaction_394744,406.04868513965584,195.04453534906332,2020-01-31
Corporates,Debt securities,2 years ≤ residual maturity < 5 years,Asset & Wealth Management,0.50 to < 0.75,iBank filial,transaction_154188,94.37086636762304,19.871445214427663,2020-01-31
Regulatory retail portfolios,Other investments,5 years ≤ residual maturity < 10 years,Personal Banking,0.75 to < 2.50,iBank CIB,transaction_348966,111.44345539776535,53.57713066685864,2020-01-31
Sovereigns and their central banks,Loans,> 10 years,Commercial & Business Banking,2.50 to < 10.00,iBank Finance Ltd,transaction_273213,881.0823943859882,142.9901801432527,2020-01-31
Non-central government public sector entities,Debt securities,>1y,Wholesale Banking,10.00 to < 100,iBank filial,transaction_500530,403.7039465034562,97.25477166821084,2020-01-31
Multilateral development banks,Other investments,1 year ≤ residual maturity < 2 years,Asset & Wealth Management,100 default,iBank CIB,transaction_207511,294.85363488374327,101.54471658898191,2020-01-31
Banks,Loans,2 years ≤ residual maturity < 5 years,Personal Banking,0.00 to < 0.15,iBank Finance Ltd,transaction_973279,669.4616701092663,288.86235972711154,2020-01-31
Securities firms,Debt securities,5 years ≤ residual maturity < 10 years,Commercial & Business Banking,0.15 to < 0.25,iBank filial,transaction_908184,731.2132251046777,238.70102407557047,2020-01-31
Corporates,Other investments,> 10 years,Wholesale Banking,0.25 to < 0.50,iBank CIB,transaction_506450,514.181890865594,217.77235602400393,2020-01-31
Regulatory retail portfolios,Loans,>1y,Asset & Wealth Management,0.50 to < 0.75,iBank Finance Ltd,transaction_069153,184.74740339296747,99.7841828731687,2020-01-31
Sovereigns and their central banks,Debt securities,1 year ≤ residual maturity < 2 years,Personal Banking,0.75 to < 2.50,iBank filial,transaction_488131,37.9252383405424,12.979869168102663,2020-01-31
Non-central government public sector entities,Other investments,2 years ≤ residual maturity < 5 years,Commercial & Business Banking,2.50 to < 10.00,iBank CIB,transaction_672670,983.8481417834535,293.79869822935257,2020-01-31
Multilateral development banks,Loans,5 years ≤ residual maturity < 10 years,Wholesale Banking,10.00 to < 100,iBank Finance Ltd,transaction_930842,224.52847865515514,117.37140123099901,2020-01-31
Banks,Debt securities,> 10 years,Asset & Wealth Management,100 default,iBank filial,transaction_151496,402.41510877040196,111.13885859105801,2020-01-31
Securities firms,Other investments,>1y,Personal Banking,0.00 to < 0.15,iBank CIB,transaction_733761,869.9536399298804,332.5253021406667,2020-01-31
Corporates,Loans,1 year ≤ residual maturity < 2 years,Commercial & Business Banking,0.15 to < 0.25,iBank Finance Ltd,transaction_431170,277.2233676828656,53.27579439241369,2020-01-31
Regulatory retail portfolios,Debt securities,2 years ≤ residual maturity < 5 years,Wholesale Banking,0.25 to < 0.50,iBank filial,transaction_812898,104.36902159211137,40.19908711639266,2020-01-31
Sovereigns and their central banks,Other investments,5 years ≤ residual maturity < 10 years,Asset & Wealth Management,0.50 to < 0.75,iBank CIB,transaction_561370,962.4961124323385,157.85229252998928,2020-01-31
Non-central government public sector entities,Loans,> 10 years,Personal Banking,0.75 to < 2.50,iBank Finance Ltd,transaction_352589,223.52406333238704,44.85210111754567,2020-01-31
Multilateral development banks,Debt securities,>1y,Commercial & Business Banking,2.50 to < 10.00,iBank filial,transaction_981033,308.2422768677867,82.02525347078296,2020-01-31
Banks,Other investments,1 year ≤ residual maturity < 2 years,Wholesale Banking,10.00 to < 100,iBank CIB,transaction_496467,143.43687003209604,30.93463644467454,2020-01-31
Securities firms,Loans,2 years ≤ residual maturity < 5 years,Asset & Wealth Management,100 default,iBank Finance Ltd,transaction_098975,770.1038349318462,439.20181355792994,2020-01-31
Corporates,Debt securities,5 years ≤ residual maturity < 10 years,Personal Banking,0.00 to < 0.15,iBank filial,transaction_017360,340.74557247163483,82.93547393301039,2020-01-31
Regulatory retail portfolios,Other investments,> 10 years,Commercial & Business Banking,0.15 to < 0.25,iBank CIB,transaction_510937,237.1817735137889,116.76440063964415,2020-01-31
Sovereigns and their central banks,Loans,>1y,Wholesale Banking,0.25 to < 0.50,iBank Finance Ltd,transaction_263620,490.0523481055846,187.01086342640053,2020-01-31
Non-central government public sector entities,Debt securities,1 year ≤ residual maturity < 2 years,Asset & Wealth Management,0.50 to < 0.75,iBank filial,transaction_796294,660.3565864672253,321.3846541420059,2020-01-31
Multilateral development banks,Other investments,2 years ≤ residual maturity < 5 years,Personal Banking,0.75 to < 2.50,iBank CIB,transaction_627192,667.6768776317418,148.5663776003181,2020-01-31
Banks,Loans,5 years ≤ residual maturity < 10 years,Commercial & Business Banking,2.50 to < 10.00,iBank Finance Ltd,transaction_751371,419.508269061715,88.10071431308685,2020-01-31
Securities firms,Debt securities,> 10 years,Wholesale Banking,10.00 to < 100,iBank filial,transaction_813412,187.60752785657843,74.42178452271789,2020-01-31
Corporates,Other investments,>1y,Asset & Wealth Management,100 default,iBank CIB,transaction_011905,220.16861366146435,110.94867538272318,2020-01-31
Regulatory retail portfolios,Loans,1 year ≤ residual maturity < 2 years,Personal Banking,0.00 to < 0.15,iBank Finance Ltd,transaction_055165,452.6797934603838,139.27644103939048,2020-01-31
Sovereigns and their central banks,Debt securities,2 years ≤ residual maturity < 5 years,Commercial & Business Banking,0.15 to < 0.25,iBank filial,transaction_538912,678.4617788457289,284.41684554495754,2020-01-31
Non-central government public sector entities,Other investments,5 years ≤ residual maturity < 10 years,Wholesale Banking,0.25 to < 0.50,iBank CIB,transaction_007634,600.6892579333216,106.91801675077042,2020-01-31
Multilateral development banks,Loans,> 10 years,Asset & Wealth Management,0.50 to < 0.75,iBank Finance Ltd,transaction_851214,211.81102491887827,84.0304350942741,2020-01-31
Banks,Debt securities,>1y,Personal Banking,0.75 to < 2.50,iBank filial,transaction_597941,316.14726547984804,72.1278595791667,2020-01-31
Securities firms,Other investments,1 year ≤ residual maturity < 2 years,Commercial & Business Banking,2.50 to < 10.00,iBank CIB,transaction_270635,795.0782712391064,443.2109787604945,2020-01-31
Corporates,Loans,2 years ≤ residual maturity < 5 years,Wholesale Banking,10.00 to < 100,iBank Finance Ltd,transaction_368655,820.9117555650549,235.43335696748903,2020-01-31
Regulatory retail portfolios,Debt securities,5 years ≤ residual maturity < 10 years,Asset & Wealth Management,100 default,iBank filial,transaction_478100,496.1576039044041,251.23034144116485,2020-01-31
Sovereigns and their central banks,Other investments,> 10 years,Personal Banking,0.00 to < 0.15,iBank CIB,transaction_231660,770.5606212241253,450.4444658496587,2020-01-31
Non-central government public sector entities,Loans,>1y,Commercial & Business Banking,0.15 to < 0.25,iBank Finance Ltd,transaction_937362,463.6612802172864,216.32606412962446,2020-01-31
Multilateral development banks,Debt securities,1 year ≤ residual maturity < 2 years,Wholesale Banking,0.25 to < 0.50,iBank filial,transaction_058672,300.7222453945001,101.43196756466735,2020-01-31
Banks,Other investments,2 years ≤ residual maturity < 5 years,Asset & Wealth Management,0.50 to < 0.75,iBank CIB,transaction_330041,215.79787553681385,36.25352968788771,2020-01-31
Securities firms,Loans,5 years ≤ residual maturity < 10 years,Personal Banking,0.75 to < 2.50,iBank Finance Ltd,transaction_240534,839.8663040845076,454.38583750132625,2020-01-31
Corporates,Debt securities,> 10 years,Commercial & Business Banking,2.50 to < 10.00,iBank filial,transaction_769865,556.3653763611203,110.21301537389614,2020-01-31
Regulatory retail portfolios,Other investments,>1y,Wholesale Banking,10.00 to < 100,iBank CIB,transaction_199752,234.14400596902362,122.2844765107495,2020-01-31
Sovereigns and their central banks,Loans,1 year ≤ residual maturity < 2 years,Asset & Wealth Management,100 default,iBank Finance Ltd,transaction_354974,489.24592339651406,174.63532079602473,2020-01-31
Non-central government public sector entities,Debt securities,2 years ≤ residual maturity < 5 years,Personal Banking,0.00 to < 0.15,iBank filial,transaction_806541,672.0334580311454,350.5513681672826,2020-01-31
Multilateral development banks,Other investments,5 years ≤ residual maturity < 10 years,Commercial & Business Banking,0.15 to < 0.25,iBank CIB,transaction_137101,347.8468301155206,124.57070363693296,2020-01-31
Banks,Loans,> 10 years,Wholesale Banking,0.25 to < 0.50,iBank Finance Ltd,transaction_711374,373.9262826966534,142.40694594536697,2020-01-31
Securities firms,Debt securities,>1y,Asset & Wealth Management,0.50 to < 0.75,iBank filial,transaction_901832,290.1919856114318,73.06133599841688,2020-01-31
Corporates,Other investments,1 year ≤ residual maturity < 2 years,Personal Banking,0.75 to < 2.50,iBank CIB,transaction_858795,452.15027375609264,131.52511143706627,2020-01-31
Regulatory retail portfolios,Loans,2 years ≤ residual maturity < 5 years,Commercial & Business Banking,2.50 to < 10.00,iBank Finance Ltd,transaction_489862,130.6561774507785,73.79693791404831,2020-01-31
Sovereigns and their central banks,Debt securities,5 years ≤ residual maturity < 10 years,Wholesale Banking,10.00 to < 100,iBank filial,transaction_870433,704.4801153755666,167.06767720511846,2020-01-31
Non-central government public sector entities,Other investments,> 10 years,Asset & Wealth Management,100 default,iBank CIB,transaction_786788,671.5125914641792,218.27354891729058,2020-01-31
Multilateral development banks,Loans,>1y,Personal Banking,0.00 to < 0.15,iBank Finance Ltd,transaction_797329,331.5910606584045,190.40283036252026,2020-01-31
Banks,Debt securities,1 year ≤ residual maturity < 2 years,Commercial & Business Banking,0.15 to < 0.25,iBank filial,transaction_349079,408.8960413486176,207.60329099288526,2020-01-31
Securities firms,Other investments,2 years ≤ residual maturity < 5 years,Wholesale Banking,0.25 to < 0.50,iBank CIB,transaction_670058,56.6148292939267,12.157065165796153,2020-01-31
Corporates,Loans,5 years ≤ residual maturity < 10 years,Asset & Wealth Management,0.50 to < 0.75,iBank Finance Ltd,transaction_888269,885.570264261074,196.42455850844263,2020-01-31
Regulatory retail portfolios,Debt securities,> 10 years,Personal Banking,0.75 to < 2.50,iBank filial,transaction_653637,741.3250160110664,201.16542672417663,2020-01-31
